Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
RNASE4,SeverAD,Control,7,8,-1.46110362379615,-3.33371030978544,11.7793054797935,0.0061002203489671,-0.905343863194435,-0.188773136805565,1.663044,2.2101025,0,two.sided,Welch Two Sample t-test,0.675445034777526
PACSIN1,SeverAD,Control,7,8,-1.51704732232174,-3.47014815519057,9.90680063077644,0.00610352626361261,-0.987824419250051,-0.214707759321379,6.44442928571429,7.045695375,0,two.sided,Welch Two Sample t-test,0.675445034777526
LDB2,SeverAD,Control,7,8,-1.57347039638671,-3.44451391822268,10.1972260815903,0.00610832059889842,-1.07586166998135,-0.232038401447222,7.89931171428571,8.55326175,0,two.sided,Welch Two Sample t-test,0.675445034777526
ZNF341,SeverAD,Control,7,8,1.46727819253478,3.34979744243798,11.4526944262587,0.0061441633997415,0.191445140073494,0.914839717069364,2.51911442857143,1.965972,0,two.sided,Welch Two Sample t-test,0.675445034777526
GABRA2,SeverAD,Control,7,8,-2.26297339745476,-3.35702200245705,11.3062542446987,0.00616833574708074,-1.94815781774437,-0.408281432255625,3.345738,4.523957625,0,two.sided,Welch Two Sample t-test,0.675445034777526
NORAD,SeverAD,Control,7,8,-1.40231677824811,-3.26190749059622,12.961462956213,0.00620647063581963,-0.810989131042086,-0.164635440386486,7.22890771428571,7.71672,0,two.sided,Welch Two Sample t-test,0.675445034777526
ATP2B2,SeverAD,Control,7,8,-1.4835219998953,-3.29152524892874,12.3362068067418,0.00622564563572419,-0.944555772039753,-0.193496870817391,7.74846242857143,8.31748875,0,two.sided,Welch Two Sample t-test,0.675445034777526
APOL4,SeverAD,Control,7,8,1.41973492129614,3.83345878206797,7.11760760517719,0.00622853498944165,0.194776483734515,0.816466694836914,3.95783871428571,3.452217125,0,two.sided,Welch Two Sample t-test,0.675445034777526
RHBDD2,SeverAD,Control,7,8,-1.32977493470162,-3.25794470777979,12.9401162329133,0.00626602343803878,-0.683968474623421,-0.138395703948008,3.85598328571429,4.267165375,0,two.sided,Welch Two Sample t-test,0.675445034777526
COX7C,SeverAD,Control,7,8,-1.37872717307112,-3.25521845649951,12.9113217432357,0.00631537566907621,-0.771051538119093,-0.155622461880909,9.18934,9.652677,0,two.sided,Welch Two Sample t-test,0.675445034777526
IPCEF1,SeverAD,Control,7,8,-2.34123467907153,-3.40794712193577,10.3983369063919,0.00632281517098796,-2.02551963519628,-0.429019471946581,6.24768357142857,7.474953125,0,two.sided,Welch Two Sample t-test,0.675445034777526
TYK2,SeverAD,Control,7,8,1.16907880221455,3.27198724123591,12.5507218114081,0.00632565942035362,0.0760242064442217,0.374720150698636,4.48469642857143,4.25932425,0,two.sided,Welch Two Sample t-test,0.675445034777526
LPAR5,SeverAD,Control,7,8,1.383713677199,3.52760741241813,9.0980258580595,0.00632984133300148,0.168572959565643,0.768517933291499,3.91927057142857,3.450725125,0,two.sided,Welch Two Sample t-test,0.675445034777526
ZNF365,SeverAD,Control,7,8,-1.54782527691528,-3.38147307288251,10.7224740875622,0.00634357329206577,-1.04176377366927,-0.218721476330728,7.280437,7.910679625,0,two.sided,Welch Two Sample t-test,0.675445034777526
MAP9,SeverAD,Control,7,8,-1.62667169549655,-3.2941113959928,12.0806347467802,0.00635736202962672,-1.16585024542225,-0.237995968863464,3.65170514285714,4.35362825,0,two.sided,Welch Two Sample t-test,0.675445034777526
RNF187,SeverAD,Control,7,8,1.49205484937474,3.2681413936722,12.5718572645825,0.00635907963746774,0.194357097514092,0.96024404534305,4.80457357142857,4.227273,0,two.sided,Welch Two Sample t-test,0.675445034777526
CCDC181,SeverAD,Control,7,8,-1.36906696801265,-3.25686937776802,12.7982544634796,0.00636082196543737,-0.75429049989829,-0.152095535815995,3.71154285714286,4.164735875,0,two.sided,Welch Two Sample t-test,0.675445034777526
